title,location,url,startdate,enddate,type,price,solddate
 HOUSE OF DRAGON NEW YEAR EVE PARTY,REDSQUARE ROOFTOP BAR ,https://www.ticketmelon.com/redsquare/-house-of-dragon-new-year-eve-party,2023-12-31,2023-12-31,Epic Dragon Standing,"5,000",
 HOUSE OF DRAGON NEW YEAR EVE PARTY,REDSQUARE ROOFTOP BAR ,https://www.ticketmelon.com/redsquare/-house-of-dragon-new-year-eve-party,2023-12-31,2023-12-31,Mystic Dragons Seating  2,"18,000",
 HOUSE OF DRAGON NEW YEAR EVE PARTY,REDSQUARE ROOFTOP BAR ,https://www.ticketmelon.com/redsquare/-house-of-dragon-new-year-eve-party,2023-12-31,2023-12-31,Golden Dragons Seating 4,"38,000",
 HOUSE OF DRAGON NEW YEAR EVE PARTY,REDSQUARE ROOFTOP BAR ,https://www.ticketmelon.com/redsquare/-house-of-dragon-new-year-eve-party,2023-12-31,2023-12-31,EXTRA SEATING FOR 1,"9,000",
NYE at BEAMCUBE with Eddie Leader,"BEAMCUBE, Mahanakorn Cube",https://www.ticketmelon.com/beamclub/beamcube-nye-eddieleader,2023-12-31,2023-12-31,ONLINE,600,
NYE at BEAMCUBE with Eddie Leader,"BEAMCUBE, Mahanakorn Cube",https://www.ticketmelon.com/beamclub/beamcube-nye-eddieleader,2023-12-31,2023-12-31,AT DOOR TICKETS,800,
TEMPO NYE 2023,Decommune,https://www.ticketmelon.com/tempobangkok/temponye2023,2023-12-31,2023-12-31,,,
Additional Round for LOVE ACTUALLY Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,https://www.ticketmelon.com/thecommonsthonglor/dec-31-round-2,2023-12-31,2023-12-31,Ticket + Poppa's Popcorn & Drink,350,
RCB NEW YEAR COUNTDOWN 2024,River City Bangkok,https://www.ticketmelon.com/rivercitybangkok/82ece32895c011ee990801117567899b,2023-12-31,2023-12-31,RCB NEW YEAR COUNTDOWN 2024,"1,000",2023-12-29
SONIC DREAMS BANGKOK NYE 2024,Tropical Galaxy,https://www.ticketmelon.com/sonic-dreams-psytrance-thailand/sonicdreambangkoknye2024,2023-12-31,2023-12-31,Limited Presale Tickets,200,
SONIC DREAMS BANGKOK NYE 2024,Tropical Galaxy,https://www.ticketmelon.com/sonic-dreams-psytrance-thailand/sonicdreambangkoknye2024,2023-12-31,2023-12-31,Regular Entrance Tickets,300,
Studio Adventure: Phú Quốc Odyssey NYE 23-24,"Chez Carole Beach Resort, Phu Quoc ",https://www.ticketmelon.com/studioadventurecollective/phuquocodyssey,2023-12-31,2024-01-02,Early Bird - Full Pass,25,2023-12-29
Studio Adventure: Phú Quốc Odyssey NYE 23-24,"Chez Carole Beach Resort, Phu Quoc ",https://www.ticketmelon.com/studioadventurecollective/phuquocodyssey,2023-12-31,2024-01-02,Early Bird - Group Package (5 Tickets),19.8,2023-12-29
Studio Adventure: Phú Quốc Odyssey NYE 23-24,"Chez Carole Beach Resort, Phu Quoc ",https://www.ticketmelon.com/studioadventurecollective/phuquocodyssey,2023-12-31,2024-01-02,Early Bird - Group Package (10 Tickets),17.2,2023-12-29
Studio Adventure: Phú Quốc Odyssey NYE 23-24,"Chez Carole Beach Resort, Phu Quoc ",https://www.ticketmelon.com/studioadventurecollective/phuquocodyssey,2023-12-31,2024-01-02,Standard Entry - Full Pass,31,2023-12-29
Studio Adventure: Phú Quốc Odyssey NYE 23-24,"Chez Carole Beach Resort, Phu Quoc ",https://www.ticketmelon.com/studioadventurecollective/phuquocodyssey,2023-12-31,2024-01-02,Standard Entry - Group Package (5 Tickets),25,2023-12-29
Studio Adventure: Phú Quốc Odyssey NYE 23-24,"Chez Carole Beach Resort, Phu Quoc ",https://www.ticketmelon.com/studioadventurecollective/phuquocodyssey,2023-12-31,2024-01-02,Standard Entry - Group Package (10 Tickets),22,2023-12-29
Studio Adventure: Phú Quốc Odyssey NYE 23-24,"Chez Carole Beach Resort, Phu Quoc ",https://www.ticketmelon.com/studioadventurecollective/phuquocodyssey,2023-12-31,2024-01-02,Superior Triple Bungalow,165,2023-12-29
Studio Adventure: Phú Quốc Odyssey NYE 23-24,"Chez Carole Beach Resort, Phu Quoc ",https://www.ticketmelon.com/studioadventurecollective/phuquocodyssey,2023-12-31,2024-01-02,Waterfront Bungalow,185,2023-12-29
Studio Adventure: Phú Quốc Odyssey NYE 23-24,"Chez Carole Beach Resort, Phu Quoc ",https://www.ticketmelon.com/studioadventurecollective/phuquocodyssey,2023-12-31,2024-01-02,Last Chance - Full Pass,35,
Studio Adventure: Phú Quốc Odyssey NYE 23-24,"Chez Carole Beach Resort, Phu Quoc ",https://www.ticketmelon.com/studioadventurecollective/phuquocodyssey,2023-12-31,2024-01-02,Last Chance - Group Package (5 Tickets),28,
