title,location,startdate,enddate,vendor
Jay Chou Carnival World Tour 2023 ' Bangkok,สนามราชมังคลากีฬาสถาน,2023-12-08,2023-12-09,TTM
808 Festival 2023 - VVIP Table Packages,BITEC Bangna,2023-12-08,2023-12-10,Ticketmelon
808 Festival 2023 - GA AND VIP STANDING TICKETS,BITEC Bangna,2023-12-08,2023-12-10,Ticketmelon
Brotherhood Brutality - ASHES SHALL REIGN OVER ASIA TOUR 203,Mr Fox Livehouse ,2023-12-09,2023-12-09,Ticketmelon
"Daniel Caesar Presents ""Superpowers World Tour ' Leg 3 : Australia + Asia + Hawaii""","อิมแพ็ค เอ็กซิบิชั่น ฮอลล์ 5, เมืองทองธานี",2023-12-09,2023-12-09,TTM
CHRISTINA Q CONCERT,อิมแพ็ค อารีน่า เมืองทองธานี,2023-12-09,2023-12-09,TTM
"Daniel Caesar Presents ""Superpowers World Tour ' Leg 3 : Australia + Asia + Hawaii""","อิมแพ็ค เอ็กซิบิชั่น ฮอลล์ 5, เมืองทองธานี",2023-12-09,2023-12-09,TTM
PERFECT MUSIC FESTIVAL 2023, ลานกิจกรรมตลาดน้ำชุน ทางขึ้นเขาค้อ อ.หล่มสัก จ.เพชรบูรณ์,2023-12-09,2023-12-09,The Concert
PanSiam Thailand Handpan Gathering 2023,"Under the big tree, near Chiangdao hotsprings",2023-12-09,2023-12-10,Ticketmelon
เฉลียง Rare Item RESTAGE คอนเสิร์ต,หอประชุมมหิดลสิทธาคาร มหาวิทยาลัยมหิดลศาลายา,2023-12-09,2023-12-10,TTM
เฉลียง Rare Item RESTAGE คอนเสิร์ต,หอประชุมมหิดลสิทธาคาร มหาวิทยาลัยมหิดลศาลายา,2023-12-09,2023-12-10,TTM
EARTH-BANK FIND OUR DESTINY 1st FANMEET,Vince Hotel (Pratunam Bangkok),2023-12-10,2023-12-10,Ticketmelon
HEARTH & HOME - The Charity Concert | 27th Birthday Fanmeeting,Lido Connect Siam Square ,2023-12-10,2023-12-10,Ticketmelon
JelloRio 2023 Born Legend World Tour in Asia,"The Bee, Publika ",2023-12-10,2023-12-10,Ticketmelon
 ER ENDLESS RETURN x CC CHANCES IN CHAOS Presents ENDLESS CHAOS,Abandon Radio CNX,2023-12-10,2023-12-10,Ticketmelon
LEE JUNHO 1st FANMEETING TOUR < JUNHO THE MOMENT 2023 >,รอยัล พารากอน ฮอลล์,2023-12-10,2023-12-10,TTM
